点号,电压等级,间隔名称,设备名称,设备大类,信息分类,告警分级,量测类型,动作量词,信号类型,是否上光字牌,主站描述,厂站端描述
1178,10kV,10kV245分段,245分段保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,10kV备自投闭锁自投3,10kV备自投闭锁自投3
1179,10kV,10kV245分段,245分段保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,10kV备自投闭锁自投4,10kV备自投闭锁自投4
1180,110kV,110kV145分段,145开关机构,辅助设备,告知,,,PSCADA远方/就地,一般遥信,是,145-4及-5机构箱远方／就地,145-4及-5机构箱远方／就地
1181,10kV,10kV圈宏线,151线路保护,二次设备,异常,,,PSCADA放电/已充电,一般遥信,是,151重合闸充电成功,151重合闸充电成功
1182,10kV,10kV银海线,153线路保护,二次设备,异常,,,PSCADA放电/已充电,一般遥信,是,153重合闸充电成功,153重合闸充电成功
1183,10kV,10kV落垡线,155线路保护,二次设备,异常,,,PSCADA放电/已充电,一般遥信,是,155重合闸充电成功,155重合闸充电成功
1184,10kV,10kV157备用线,157线路保护,二次设备,异常,,,PSCADA放电/已充电,一般遥信,是,157重合闸充电成功,157重合闸充电成功
1185,10kV,10kV奥朗斯线,159线路保护,二次设备,异常,,,PSCADA放电/已充电,一般遥信,是,159重合闸充电成功,159重合闸充电成功
1186,10kV,10kV董标垡线,161线路保护,二次设备,异常,,,PSCADA放电/已充电,一般遥信,是,161重合闸充电成功,161重合闸充电成功
1187,10kV,10kV150接地变,150接地变保护,二次设备,异常,,,PSCADA放电/已充电,一般遥信,是,150重合闸充电成功,163重合闸充电成功
1188,10kV,10kV165备用线,165线路保护,二次设备,异常,,,PSCADA放电/已充电,一般遥信,是,165重合闸充电成功,165重合闸充电成功
1189,10kV,10kV马圈东线,152线路保护,二次设备,异常,,,PSCADA放电/已充电,一般遥信,是,152重合闸充电成功,152重合闸充电成功
1190,10kV,10kV马圈西线,154线路保护,二次设备,异常,,,PSCADA放电/已充电,一般遥信,是,154重合闸充电成功,154重合闸充电成功
1191,10kV,10kV和瑞园线,156线路保护,二次设备,异常,,,PSCADA放电/已充电,一般遥信,是,156重合闸充电成功,156重合闸充电成功
1192,10kV,10kV汇利线,158线路保护,二次设备,异常,,,PSCADA放电/已充电,一般遥信,是,158重合闸充电成功,158重合闸充电成功
1193,10kV,10kV162备用线,162线路保护,二次设备,异常,,,PSCADA放电/已充电,一般遥信,是,162重合闸充电成功,162重合闸充电成功
1194,10kV,10kV颐西湖线,164线路保护,二次设备,异常,,,PSCADA放电/已充电,一般遥信,是,164重合闸充电成功,164重合闸充电成功
1195,10kV,10kV160接地变,160接地变保护,二次设备,异常,,,PSCADA放电/已充电,一般遥信,是,160重合闸充电成功,166重合闸充电成功
1196,10kV,10kV168备用线,168线路保护,二次设备,异常,,,PSCADA放电/已充电,一般遥信,是,168重合闸充电成功,168重合闸充电成功
1197,35kV,35kV311备用线,311线路保护,二次设备,异常,,,PSCADA放电/已充电,一般遥信,是,311重合闸充电成功,311重合闸充电成功
1198,35kV,35kV313备用线,313线路保护,二次设备,异常,,,PSCADA放电/已充电,一般遥信,是,313重合闸充电成功,313重合闸充电成功
1199,35kV,35kV315备用线,315线路保护,二次设备,异常,,,PSCADA放电/已充电,一般遥信,是,315重合闸充电成功,315重合闸充电成功
1200,35kV,35kV马营线,317线路保护,二次设备,异常,,,PSCADA放电/已充电,一般遥信,是,317重合闸充电成功,317重合闸充电成功
1201,35kV,35kV马城线,312线路保护,二次设备,异常,,,PSCADA放电/已充电,一般遥信,是,312重合闸充电成功,312重合闸充电成功
1202,35kV,35kV314备用线,314线路保护,二次设备,异常,,,PSCADA放电/已充电,一般遥信,是,314重合闸充电成功,314重合闸充电成功
1203,35kV,35kV316备用线,316线路保护,二次设备,异常,,,PSCADA放电/已充电,一般遥信,是,316重合闸充电成功,316重合闸充电成功
1204,35kV,35kV318备用线,318线路保护,二次设备,异常,,,PSCADA放电/已充电,一般遥信,是,318重合闸充电成功,318重合闸充电成功
1205,10kV,10kV圈宏线,151线路保护,二次设备,变位,,,PSCADA退出/投入,软压板,是,151重合闸软压板投入,151重合闸软压板投入
1206,10kV,10kV银海线,153线路保护,二次设备,变位,,,PSCADA退出/投入,软压板,是,153重合闸软压板投入,153重合闸软压板投入
1207,10kV,10kV落垡线,155线路保护,二次设备,变位,,,PSCADA退出/投入,软压板,是,155重合闸软压板投入,155重合闸软压板投入
1208,10kV,10kV157备用线,157线路保护,二次设备,变位,,,PSCADA退出/投入,软压板,是,157重合闸软压板投入,157重合闸软压板投入
1209,10kV,10kV奥朗斯线,159线路保护,二次设备,变位,,,PSCADA退出/投入,软压板,是,159重合闸软压板投入,159重合闸软压板投入
1210,10kV,10kV董标垡线,161线路保护,二次设备,变位,,,PSCADA退出/投入,软压板,是,161重合闸软压板投入,161重合闸软压板投入
1211,10kV,10kV150接地变,150接地变保护,二次设备,变位,,,PSCADA退出/投入,软压板,是,150重合闸软压板投入,163重合闸软压板投入
1212,10kV,10kV165备用线,165线路保护,二次设备,变位,,,PSCADA退出/投入,软压板,是,165重合闸软压板投入,165重合闸软压板投入
1213,10kV,10kV马圈东线,152线路保护,二次设备,变位,,,PSCADA退出/投入,软压板,是,152重合闸软压板投入,152重合闸软压板投入
1214,10kV,10kV马圈西线,154线路保护,二次设备,变位,,,PSCADA退出/投入,软压板,是,154重合闸软压板投入,154重合闸软压板投入
1215,10kV,10kV和瑞园线,156线路保护,二次设备,变位,,,PSCADA退出/投入,软压板,是,156重合闸软压板投入,156重合闸软压板投入
1217,10kV,10kV162备用线,162线路保护,二次设备,变位,,,PSCADA退出/投入,软压板,是,162重合闸软压板投入,162重合闸软压板投入
1218,10kV,10kV颐西湖线,164线路保护,二次设备,变位,,,PSCADA退出/投入,软压板,是,164重合闸软压板投入,164重合闸软压板投入
1219,10kV,10kV160接地变,160接地变保护,二次设备,变位,,,PSCADA退出/投入,软压板,是,160重合闸软压板投入,166重合闸软压板投入
1220,10kV,10kV168备用线,168线路保护,二次设备,变位,,,PSCADA退出/投入,软压板,是,168重合闸软压板投入,168重合闸软压板投入
1221,35kV,35kV311备用线,311线路保护,二次设备,变位,,,PSCADA退出/投入,软压板,是,311重合闸软压板投入,311重合闸软压板投入
1222,35kV,35kV313备用线,313线路保护,二次设备,变位,,,PSCADA退出/投入,软压板,是,313重合闸软压板投入,313重合闸软压板投入
1223,35kV,35kV315备用线,315线路保护,二次设备,变位,,,PSCADA退出/投入,软压板,是,315重合闸软压板投入,315重合闸软压板投入
1224,35kV,35kV马营线,317线路保护,二次设备,变位,,,PSCADA退出/投入,软压板,是,317重合闸软压板投入,317重合闸软压板投入
1225,35kV,35kV马城线,312线路保护,二次设备,变位,,,PSCADA退出/投入,软压板,是,312重合闸软压板投入,312重合闸软压板投入
1226,35kV,35kV314备用线,314线路保护,二次设备,变位,,,PSCADA退出/投入,软压板,是,314重合闸软压板投入,314重合闸软压板投入
1227,35kV,35kV316备用线,316线路保护,二次设备,变位,,,PSCADA退出/投入,软压板,是,316重合闸软压板投入,316重合闸软压板投入
1228,35kV,35kV318备用线,318线路保护,二次设备,变位,,,PSCADA退出/投入,软压板,是,318重合闸软压板投入,318重合闸软压板投入
1229,10kV,10kV汇利线,158线路保护,二次设备,变位,,,PSCADA退出/投入,软压板,是,158重合闸软压板投入,158重合闸软压板投入
1230,10kV,10kV150接地变,150-1接地刀闸,交流刀闸,告知,,,PSCADA分位/合位,一般遥信,是,150接地变150-1刀闸位置,150接地变150-1刀闸位置
1231,10kV,10kV150接地变,接地变公用,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,150接地变温控器故障,150接地变温控器故障
1232,10kV,10kV150接地变,接地变公用,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,150接地变超温报警,150接地变超温报警
1233,10kV,10kV160接地变,160-1接地刀闸,交流刀闸,告知,,,PSCADA复归/动作,一般遥信,是,160接地变160-1刀闸位置,160接地变160-1刀闸位置
1234,10kV,10kV160接地变,接地变公用,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,160接地变温控器故障,160接地变温控器故障
1235,10kV,10kV160接地变,接地变公用,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,160接地变超温报警,160接地变超温报警
1236,10kV,10kV160接地变,消弧线圈装置,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,160消弧线圈单相接地,160消弧线圈单相接地
1237,10kV,10kV160接地变,消弧线圈装置,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,160消弧线圈综合报警,160消弧线圈综合报警
1238,10kV,10kV160接地变,消弧线圈装置,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,160消弧线圈交流失电,160消弧线圈交流失电
1239,10kV,10kV150接地变,消弧线圈装置,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,150消弧线圈单相接地,150消弧线圈单相接地
1240,10kV,10kV150接地变,消弧线圈装置,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,150消弧线圈综合报警,150消弧线圈综合报警
1241,10kV,10kV150接地变,消弧线圈装置,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,150消弧线圈交流失电,150消弧线圈交流失电
1242,380V,公用间隔,辅助控制系统,辅助设备,异常,,,PSCADA复归/告警,辅设备异常告警,是,安防报警,安防报警
1243,10kV,10kV150接地变,消弧线圈装置,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,150消弧线圈调档失败,150消弧线圈调档失败
1244,10kV,10kV150接地变,消弧线圈装置,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,150消弧线圈自动状态,150消弧线圈自动状态
1245,10kV,10kV150接地变,消弧线圈装置,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,150消弧线圈容量不适,150消弧线圈容量不适
1246,10kV,10kV150接地变,消弧线圈装置,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,150消弧线圈位移过限,150消弧线圈位移过限
1247,10kV,10kV150接地变,消弧线圈装置,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,150消弧线圈网络状态1,150消弧线圈网络状态1
1248,10kV,10kV160接地变,消弧线圈装置,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,160消弧线圈调档失败,160消弧线圈调档失败
1249,10kV,10kV160接地变,消弧线圈装置,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,160消弧线圈自动状态,160消弧线圈自动状态
1250,10kV,10kV160接地变,消弧线圈装置,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,160消弧线圈容量不适,160消弧线圈容量不适
1251,10kV,10kV160接地变,消弧线圈装置,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,160消弧线圈位移过限,160消弧线圈位移过限
1252,10kV,10kV160接地变,消弧线圈装置,二次设备,异常,,,PSCADA恢复/中断,二次设备异常告警,是,160消弧线圈网络状态1,160消弧线圈网络状态1
1253,10kV,10kV160接地变,消弧线圈装置,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,消弧线圈通讯装置闭锁,消弧线圈通讯装置闭锁
1254,10kV,10kV160接地变,消弧线圈装置,二次设备,异常,,,PSCADA恢复/中断,二次设备异常告警,是,消弧线圈通讯装置告警,消弧线圈通讯装置告警
1255,380V,交直流间隔,直流系统,辅助设备,异常,,,PSCADA复归/告警,辅设备故障告警,是,系统总故障（直流）,系统总故障（直流）
1256,380V,交直流间隔,直流系统,辅助设备,异常,,,PSCADA复归/告警,辅设备故障告警,是,充电模块故障（直流）,充电模块故障（直流）
1257,380V,交直流间隔,直流系统,辅助设备,异常,,,PSCADA复归/告警,辅设备故障告警,是,直流母线故障（直流）,直流母线故障（直流）
1258,380V,交直流间隔,直流系统,辅助设备,异常,,,PSCADA复归/告警,辅设备故障告警,是,电池故障（直流）,电池故障（直流）
1259,380V,交直流间隔,直流系统,辅助设备,异常,,,PSCADA复归/告警,辅设备故障告警,是,交流故障（直流）,交流故障（直流）
1260,380V,交直流间隔,直流系统,辅助设备,异常,,,PSCADA复归/告警,辅设备故障告警,是,直流绝缘故障（直流）,直流绝缘故障（直流）
1261,380V,交直流间隔,直流系统,辅助设备,异常,,,PSCADA复归/告警,辅设备异常告警,是,母线负绝缘不良报警（直流）,母线负绝缘不良报警（直流）
1262,380V,交直流间隔,直流系统,辅助设备,异常,,,PSCADA复归/告警,辅设备异常告警,是,母线正绝缘不良报警（直流）,母线正绝缘不良报警（直流）
1263,380V,交直流间隔,直流系统,辅助设备,异常,,,PSCADA复归/告警,辅设备异常告警,是,蓄电池组过压报警（直流）,蓄电池组过压报警（直流）
1264,380V,交直流间隔,直流系统,辅助设备,异常,,,PSCADA复归/告警,辅设备异常告警,是,蓄电池组欠压报警（直流）,蓄电池组欠压报警（直流）
1265,380V,交直流间隔,直流系统,辅助设备,异常,,,PSCADA复归/告警,辅设备故障告警,是,电池熔断器故障（直流）,电池熔断器故障（直流）
1266,380V,交直流间隔,直流系统,辅助设备,异常,,,PSCADA复归/告警,辅设备异常告警,是,模块异常（直流）,模块异常（直流）
1267,380V,交直流间隔,直流系统,辅助设备,异常,,,PSCADA复归/告警,辅设备异常告警,是,交流异常（直流）,交流异常（直流）
1268,380V,交直流间隔,直流系统,辅助设备,异常,,,PSCADA复归/告警,辅设备异常告警,是,馈线支路开关跳闸（直流）,馈线支路开关跳闸（直流）
1269,380V,交直流间隔,直流系统,辅助设备,异常,,,PSCADA复归/告警,辅设备异常告警,是,母线异常（直流）,母线异常（直流）
1270,380V,交直流间隔,直流系统,辅助设备,异常,,,PSCADA复归/告警,辅设备异常告警,是,直流母联开关合闸（直流）,直流母联开关合闸（直流）
1271,380V,交直流间隔,直流系统,辅助设备,异常,,,PSCADA复归/告警,辅设备异常告警,是,充电机输出开关跳闸（直流）,充电机输出开关跳闸（直流）
1272,380V,交直流间隔,直流系统,辅助设备,异常,,,PSCADA复归/告警,辅设备异常告警,是,ATS异常（直流）,ATS异常（直流）
